1000 0.44 0.45 0.43 0.49 0.43
2000 1.96 2 1.96 2.1 1.86
3000 4.75 4.76 4.69 4.89 4.52
4000 8.22 8.29 8.19 8.49 8.16
5000 13.38 13.45 13.35 13.82 13.26
6000 18.47 18.47 18.38 19 18.31
7000 25.24 25.35 25.21 26.01 25.06
8000 33.26 33.27 33.25 34.27 33.21
9000 43.01 43.24 42.95 44.04 42.94
10000 52.73 52.77 52.69 53.9 52.53
11000 64.76 64.92 64.42 66.28 64.37
12000 76.76 77.13 76.7 78.47 76.55
13000 90.27 90.97 90.2 92.62 89.93
14000 105 105.14 104.85 107.45 104.76
15000 120.7 120.89 120.22 123.28 119.89
16000 137.11 137.89 136.88 141.17 136.82
17000 158.73 159.48 158.7 162.54 158.54
18000 179.31 182.07 178.2 192.19 177.91
19000 207.08 209.38 199.19 214.56 198.81
20000 232.58 233.82 227.39 239.89 227.02

