1000 1.55 1.57 1.53 1.59 1.51
2000 2.94 2.96 2.93 3.08 2.91
3000 5.71 5.91 5.64 5.91 5.56
4000 10.37 10.38 10.35 10.64 10.16
5000 8.62 9.36 8.6 10.37 8.49
6000 11.85 11.9 11.81 12.21 11.75
7000 16.02 17.15 15.77 19.27 15.72
8000 28.57 28.88 28.52 31.63 27.9
9000 31.92 42.31 28.93 45.57 28.83
10000 41.79 42.05 40.43 42.55 39.56
11000 52.7 52.91 52.64 52.94 50.29
12000 67.13 68.31 66.73 68.82 66.65
13000 79.63 79.72 78.42 81.78 77.68
14000 93.26 93.31 92.58 95.81 91.53
15000 107.29 107.49 106.38 111.94 106.09
16000 126.88 127.14 126.7 130.34 125.96
17000 143.53 146.75 143 150.25 142.71
18000 166.78 167.28 165.08 169.25 163.31
19000 190.7 194.41 187.14 195.16 184.91
20000 215.67 219.57 214.4 219.89 213.7
