1000 1.15 1.15 1.14 1.15 1.14
2000 2.12 2.13 2.07 2.13 2.07
3000 3.75 3.78 3.65 3.78 3.65
4000 6.21 6.55 5.9 6.55 5.9
5000 8.18 9.03 7.7 9.03 7.7
6000 14.13 14.3 13.55 14.3 13.55
7000 17.94 18.6 17.29 18.6 17.29
8000 24.42 24.85 23.79 24.85 23.79
9000 31.17 31.62 30.58 31.62 30.58
10000 40.5 41.05 40.2 41.05 40.2
11000 45.11 45.51 43.69 45.51 43.69
12000 58.14 61.58 55.99 61.58 55.99
13000 66.21 66.41 65.57 66.41 65.57
14000 77.35 77.75 77.06 77.75 77.06
15000 92.28 100.48 88.79 100.48 88.79
16000 101.67 103.59 94.45 103.59 94.45
17000 116.74 132.31 115.42 132.31 115.42
18000 137.32 137.49 136.56 137.49 136.56
19000 160.14 162.37 156.47 162.37 156.47
20000 169.03 191.26 167.76 191.26 167.76
