1000 1.12 1.13 1.09 1.3 1.08
2000 1.67 1.71 1.67 1.72 1.64
3000 2.6 2.64 2.6 2.67 2.58
4000 3.9 3.91 3.89 3.98 3.87
5000 5.57 5.58 5.53 5.61 5.48
6000 7.42 7.42 7.41 7.43 7.3
7000 9.33 9.45 9.33 9.77 9.23
8000 11.66 11.76 11.64 11.93 11.41
9000 14.01 14.15 13.42 14.19 13.27
10000 16.87 16.99 16.52 17.82 16.42
11000 20.19 20.3 19.86 20.51 19.81
12000 23.03 23.41 22.88 24.42 22.62
13000 27.29 27.55 26.86 28.67 26.75
14000 30.77 31.43 30.65 32.09 30.39
15000 36.2 36.49 34.85 36.53 34.77
16000 39.41 41.41 39.36 42.96 38.47
17000 47.69 49.19 45.88 49.66 45.83
18000 52.67 54.82 52.4 55.2 52.28
19000 60.74 61.74 59.47 62.36 58.31
20000 72.05 74.92 71.66 77.52 71.57
